Date,DRBLACBS,DEXUSEU,FEDFUNDS,RETAILSMSA,INDPRO,GDP,HOUST,CMRMTSPL,CPIAUCSL,PAYEMS,DGS10
1/1/1999,1.97,1.1204,4.73,225888,90.2266,3.8,1709,1072882.333,164.733,128016,5
4/1/1999,2,1.0567,4.75,230725,91.0929,3.1,1574,1086392.667,165.967,128831,5.54
7/1/1999,2.06,1.0493,5.09,235998,91.9045,5.3,1651,1098903.333,167.2,129585,5.88
10/1/1999,1.99,1.0368,5.31,241194,93.5314,7,1655,1115554.333,168.433,130472,6.14
1/1/2000,2.11,0.9859,5.68,246798,94.4765,1.5,1659,1120433.667,170.1,131242,6.47
4/1/2000,2.24,0.9334,6.27,246731,95.6199,7.5,1587,1130205.667,171.433,132018,6.18
7/1/2000,2.33,0.9042,6.52,248863,95.5269,0.5,1504,1130335.667,173,132273,5.89
10/1/2000,2.52,0.8682,6.47,250737,95.3257,2.5,1544,1127326,174.233,132539,5.57
1/1/2001,2.65,0.922,5.59,251895,94.0682,-1.1,1605,1120175.333,175.9,132745,5.04
4/1/2001,2.94,0.8736,4.33,254668,92.8812,2.4,1630,1105351,177.133,132391,5.28
7/1/2001,3.26,0.8908,3.5,252467,91.6006,-1.7,1600,1100886.667,177.633,131992,5
10/1/2001,3.48,0.8951,2.13,261687,90.6416,1.1,1570,1117775.667,177.5,131193,4.76
1/1/2002,3.69,0.877,1.73,257012,91.3109,3.5,1723,1117204.333,178.067,130768,5.08
4/1/2002,3.92,0.9186,1.75,259564,92.7305,2.4,1691,1130482,179.467,130647,5.11
7/1/2002,3.88,0.9842,1.74,262813,93.275,1.8,1697,1134533.333,180.433,130559,4.27
10/1/2002,3.88,1.0003,1.44,263817,93.2543,0.6,1730,1131513.667,181.5,130572,4
1/1/2003,3.65,1.0733,1.25,266079,93.8363,2.2,1736,1131328.333,183.367,130419,3.92
4/1/2003,3.56,1.1356,1.25,268318,93.135,3.5,1754,1140859.333,183.067,130189,3.62
7/1/2003,3.27,1.1264,1.02,275916,93.7526,7,1890,1161290,184.433,130198,4.23
10/1/2003,2.85,1.192,1,276891,94.6693,4.7,2036,1168931.333,185.133,130505,4.29
1/1/2004,2.57,1.2499,1,282018,95.334,2.2,1918,1177577.333,186.7,130912,4.01
4/1/2004,2.3,1.2047,1.01,285112,95.879,3.1,1937,1187977.333,188.167,131633,4.6
7/1/2004,2.03,1.2227,1.43,289479,96.4129,3.8,1977,1198626.333,189.367,131959,4.3
10/1/2004,1.82,1.2991,1.95,297018,97.785,4.1,1965,1215665.333,191.4,132525,4.18
1/1/2005,1.62,1.3112,2.47,299520,99.1848,4.5,2072,1230881,192.367,132987,4.3
4/1/2005,1.5,1.2591,2.94,305508,99.6873,1.9,2051,1246248.333,193.667,133717,4.16
7/1/2005,1.47,1.2196,3.46,311413,99.2302,3.6,2100,1252506.667,196.6,134453,4.22
10/1/2005,1.44,1.189,3.98,312418,100.1934,2.6,2069,1263218.667,198.433,134932,4.49
1/1/2006,1.39,1.2033,4.46,321129,101.1349,5.4,2120,1283234.667,199.467,135738,4.58
4/1/2006,1.3,1.2576,4.91,322513,101.7432,0.9,1855,1279339.667,201.267,136258,5.07
7/1/2006,1.26,1.2741,5.25,324255,102.1299,0.6,1702,1279602.333,203.167,136686,4.89
10/1/2006,1.15,1.2898,5.25,324290,102.3549,3.5,1570,1290098.667,202.333,137055,4.63
1/1/2007,1.19,1.3109,5.26,328571,103.2573,0.9,1461,1301810,204.317,137609,4.68
4/1/2007,1.19,1.3484,5.25,331613,104.5251,2.3,1451,1308558,206.631,137968,4.85
7/1/2007,1.21,1.3748,5.07,333984,104.8131,2.2,1289,1313775.333,207.939,138049,4.74
10/1/2007,1.3,1.4482,4.5,338284,105.1322,2.5,1166,1320921.667,210.49,138283,4.27
1/1/2008,1.44,1.5007,3.18,335730,104.7443,-2.3,1064,1305084,212.77,138334,3.67
4/1/2008,1.77,1.5625,2.09,337034,103.2004,2.1,1011,1295895.333,215.538,137860,3.88
7/1/2008,1.77,1.503,1.94,333053,99.8007,-2.1,862,1252918,218.861,137152,3.86
10/1/2008,2.54,1.3202,0.51,303396,95.5319,-8.4,663,1193398.667,213.849,135552,3.23
